Operon,IdGene,Type,COGgene,start,end,end.gff,Strand,Function,chr,acc,locus_tag,old_locus_tag,length_nt,type,annotation
691,cds999,CDS,COG0168,962924,964585,964585,+,"[P] Trk-type K+ transport systems, membrane components",NC_013967.1,WP_004043885.1,HVO_RS09765,HVO_1056,1662,protein_coding,potassium transporter Trk
692,cds1000,CDS,COG0168,964613,966217,966217,-,"[P] Trk-type K+ transport systems, membrane components",NC_013967.1,WP_013035428.1,HVO_RS09770,HVO_1057,1605,protein_coding,TrkH family potassium uptake protein
692,cds1001,CDS,COG0569,966335,967672,967672,-,"[P] K+ transport systems, NAD-binding component ",NC_013967.1,WP_004043883.1,HVO_RS09775,HVO_1058,1338,protein_coding,Trk system potassium transporter TrkA
695,cds1004,CDS,COG0492,969459,970238,970238,+,[O] Thioredoxin reductase    ,NC_013967.1,WP_004043880.1,HVO_RS09790,HVO_1061,780,protein_coding,NAD(P)/FAD-dependent oxidoreductase
696,cds1005,CDS,COG0452,970333,971493,971493,+,[H] Phosphopantothenoylcysteine synthetase/decarboxylase    ,NC_013967.1,WP_004043879.1,HVO_RS09795,HVO_1062,1161,protein_coding,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
697,cds1006,CDS,COG1320,971509,971904,971904,-,"[P] Multisubunit Na+/H+ antiporter, MnhG subunit ",NC_013967.1,WP_004043878.1,HVO_RS09800,HVO_1063,396,protein_coding,Na+/H+ antiporter subunit G
697,cds1007,CDS,COG2212,971901,972194,972194,-,"[P] Multisubunit Na+/H+ antiporter, MnhF subunit ",NC_013967.1,WP_004043877.1,HVO_RS09805,HVO_1064,294,protein_coding,pH regulation protein F
697,cds1008,CDS,COG1863,972187,972789,972789,-,"[P] Multisubunit Na+/H+ antiporter, MnhE subunit ",NC_013967.1,WP_004043876.1,HVO_RS09810,HVO_1065,603,protein_coding,cation transporter
697,cds1009,CDS,COG0651,972789,974486,974486,-,"[CP] Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter,",NC_013967.1,WP_004043874.1,HVO_RS09815,HVO_1066,1698,protein_coding,Na+/H+ antiporter subunit D
697,cds1010,CDS,COG1006,974483,974824,974824,-,"[P] Multisubunit Na+/H+ antiporter, MnhC subunit ",NC_013967.1,WP_004043872.1,HVO_RS09820,HVO_1067,342,protein_coding,cation:proton antiporter
697,cds1011,CDS,COG2111,974821,975294,975294,-,"[P] Multisubunit Na+/H+ antiporter, MnhB subunit ",NC_013967.1,WP_004043870.1,HVO_RS09825,HVO_1068,474,protein_coding,sodium:proton antiporter
697,cds1012,CDS,COG1009,975291,977696,977696,-,[CP] NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit,NC_013967.1,WP_013035481.1,HVO_RS09830,HVO_1069,2406,protein_coding,Na+/H+ antiporter subunit A
698,cds1013,CDS,COG2345,977936,978274,978274,+,[K] Predicted transcriptional regulator   ,NC_013967.1,WP_004043868.1,HVO_RS09835,HVO_1070,339,protein_coding,ArsR family transcriptional regulator
700,cds1015,CDS,COG0503,979089,979655,979655,+,[F] Adenine/guanine phosphoribosyltransferases and related PRPP-binding proteins,NC_013967.1,WP_004043866.1,HVO_RS09845,HVO_1072,567,protein_coding,adenine phosphoribosyltransferase
700,cds1016,CDS,COG0693,979756,980430,980430,+,[R] Putative intracellular protease/amidase   ,NC_013967.1,WP_004043865.1,HVO_RS09850,HVO_1073,675,protein_coding,type 1 glutamine amidotransferase domain-containing protein
701,cds1017,CDS,COG3440,980512,981357,981357,+,[V] Predicted restriction endonuclease   ,NC_013967.1,WP_004043864.1,HVO_RS09855,HVO_1074,846,protein_coding,HNH endonuclease
702,cds1018,CDS,COG3357,981367,981666,981666,-,[K] Predicted transcriptional regulator containing an HTH,NC_013967.1,WP_004043863.1,HVO_RS09860,HVO_1075,300,protein_coding,transcriptional regulator
703,cds1019,CDS,COG1208,981781,982749,982749,+,[MJ] Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation,NC_013967.1,WP_004043862.1,HVO_RS09865,HVO_1076,969,protein_coding,glucose-1-phosphate thymidylyltransferase
704,cds1020,CDS,COG2102,982791,983513,983513,-,[R] Predicted ATPases of PP-loop superfamily ,NC_013967.1,WP_004043861.1,HVO_RS09870,HVO_1077,723,protein_coding,hypothetical protein
706,cds1022,CDS,COG0175,984665,985642,985642,-,[EH] 3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase,NC_013967.1,WP_004043859.1,HVO_RS09880,HVO_1079,978,protein_coding,sulfate adenylyltransferase
708,cds1024,CDS,COG0278,986514,986858,986858,-,[O] Glutaredoxin-related protein    ,NC_013967.1,WP_004043857.1,HVO_RS09890,HVO_1081,345,protein_coding,glutaredoxin
709,cds1025,CDS,COG0856,986942,987574,987574,-,[F] Orotate phosphoribosyltransferase homologs   ,NC_013967.1,WP_004043856.1,HVO_RS09895,HVO_1082,633,protein_coding,orotate phosphoribosyltransferase
709,cds1026,CDS,COG1063,987571,988644,988644,-,[ER] Threonine dehydrogenase and related Zn-dependent dehydrogenases,NC_013967.1,WP_004043855.1,HVO_RS09900,HVO_1083,1074,protein_coding,glucose dehydrogenase
710,cds1027,CDS,COG0015,988974,990365,990365,-,[F] Adenylosuccinate lyase    ,NC_013967.1,WP_004043854.1,HVO_RS09905,HVO_1084,1392,protein_coding,adenylosuccinate lyase
711,cds1028,CDS,COG0138,990555,992132,992132,+,[F] AICAR transformylase/IMP cyclohydrolase PurH (only IMP,NC_013967.1,WP_004043853.1,HVO_RS09910,HVO_1085,1578,protein_coding,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase PurH
712,cds1029,CDS,COG1646,992246,993001,993001,+,"[R] Predicted phosphate-binding enzymes, TIM-barrel fold ",NC_013967.1,WP_004043852.1,HVO_RS09915,HVO_1086,756,protein_coding,heptaprenylglyceryl phosphate synthase
712,cds1030,CDS,COG0589,993047,993472,993472,+,[T] Universal stress protein UspA and related,NC_013967.1,WP_004043851.1,HVO_RS09920,HVO_1087,426,protein_coding,universal stress protein
713,cds1031,CDS,COG0294,993598,996114,996114,+,[H] Dihydropteroate synthase and related enzymes ,NC_013967.1,WP_004043850.1,HVO_RS09925,HVO_1088,2517,protein_coding,dihydropteroate synthase
714,cds1032,CDS,COG3332,996181,996933,996933,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004043849.1,HVO_RS09930,HVO_1089,753,protein_coding,hypothetical protein
714,cds1033,CDS,COG2512,996959,997312,997312,+,[S] Uncharacterized membrane-associated protein/domain   ,NC_013967.1,WP_004043848.1,HVO_RS09935,HVO_1090,354,protein_coding,transcription factor
715,cds1034,CDS,COG0638,997547,998305,998305,-,"[O] 20S proteasome, alpha and beta subunits",NC_013967.1,WP_004043847.1,HVO_RS09940,HVO_1091,759,protein_coding,"proteasome endopeptidase complex,subunit alpha"
715,cds1035,CDS,COG1369,998312,998791,998791,-,[J] RNase P/RNase MRP subunit POP5 ,NC_013967.1,WP_004043846.1,HVO_RS09945,HVO_1092,480,protein_coding,ribonuclease P
715,cds1036,CDS,COG0500,998801,999427,999427,-,[QR] SAM-dependent methyltransferases    ,NC_013967.1,WP_004043845.1,HVO_RS09950,HVO_1093,627,protein_coding,class I SAM-dependent methyltransferase
715,cds1037,CDS,COG1603,999411,1000106,1000106,-,[J] RNase P/RNase MRP subunit p30 ,NC_013967.1,WP_004043844.1,HVO_RS09955,HVO_1094,696,protein_coding,ribonuclease P
716,cds1039,CDS,COG0624,1000850,1001947,1001947,-,[E] Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases,NC_013967.1,WP_004043842.1,HVO_RS09965,HVO_1096,1098,protein_coding,succinyl-diaminopimelate desuccinylase
716,cds1040,CDS,COG0253,1001944,1002810,1002810,-,[E] Diaminopimelate epimerase    ,NC_013967.1,WP_004043841.1,HVO_RS09970,HVO_1097,867,protein_coding,diaminopimelate epimerase
716,cds1041,CDS,COG0019,1002831,1004078,1004078,-,[E] Diaminopimelate decarboxylase    ,NC_013967.1,WP_004043840.1,HVO_RS09975,HVO_1098,1248,protein_coding,diaminopimelate decarboxylase
716,cds1042,CDS,COG2171,1004075,1004917,1004917,-,[E] Tetrahydrodipicolinate N-succinyltransferase    ,NC_013967.1,WP_004043839.1,HVO_RS09980,HVO_1099,843,protein_coding,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
716,cds1043,CDS,COG0289,1004914,1005675,1005675,-,[E] Dihydrodipicolinate reductase    ,NC_013967.1,WP_004043838.1,HVO_RS09985,HVO_1100,762,protein_coding,4-hydroxy-tetrahydrodipicolinate reductase
716,cds1044,CDS,COG0329,1005672,1006589,1006589,-,[EM] Dihydrodipicolinate synthase/N-acetylneuraminate lyase   ,NC_013967.1,WP_004043837.1,HVO_RS09990,HVO_1101,918,protein_coding,4-hydroxy-tetrahydrodipicolinate synthase
717,cds1045,CDS,COG1432,1006980,1007477,1007477,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004043836.1,HVO_RS09995,HVO_1102,498,protein_coding,NYN domain-containing protein
719,cds1047,CDS,COG1370,1008781,1009260,1009260,+,"[O] Prefoldin, molecular chaperone implicated in de",NC_013967.1,WP_004043833.1,HVO_RS10005,HVO_1105,480,protein_coding,tRNA-guanine transglycosylase
720,cds1048,CDS,COG3385,1009657,1010955,1010955,-,[L] FOG: Transposase and inactivated derivatives ,NC_013967.1,WP_013035120.1,HVO_RS10010,HVO_1106,1299,protein_coding,IS4 family transposase ISHvo12
722,cds1050,CDS,COG3389,1011599,1012627,1012627,-,[S] Uncharacterized protein conserved in archaea ,NC_013967.1,WP_004043830.1,HVO_RS10020,HVO_1107,1029,protein_coding,hypothetical protein
722,cds1051,CDS,COG3277,1012676,1012900,1012900,-,[J] RNA-binding protein involved in rRNA processing,NC_013967.1,WP_004043829.1,HVO_RS10025,HVO_1108,225,protein_coding,H/ACA RNA-protein complex protein Gar1
722,cds1052,CDS,COG1400,1012900,1013178,1013178,-,[U] Signal recognition particle 19 kDa protein,NC_013967.1,WP_004043828.1,HVO_RS10030,HVO_1109,279,protein_coding,signal recognition particle
723,cds1053,CDS,COG0614,1013275,1014423,1014423,-,"[P] ABC-type Fe3+-hydroxamate transport system, periplasmic component",NC_013967.1,WP_004043827.1,HVO_RS10035,HVO_1110,1149,protein_coding,PGF-CTERM sorting domain-containing protein
724,cds1054,CDS,COG0609,1014484,1015578,1015578,+,"[P] ABC-type Fe3+-siderophore transport system, permease component",NC_013967.1,WP_004043826.1,HVO_RS10040,HVO_1111,1095,protein_coding,cobalamin import system permease BtuC
724,cds1055,CDS,COG1120,1015575,1017005,1017005,+,"[PH] ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components",NC_013967.1,WP_004043825.1,HVO_RS10045,HVO_1112,1431,protein_coding,heme ABC transporter ATP-binding protein
724,cds1056,CDS,COG0206,1017090,1018259,1018259,+,[D] Cell division GTPase   ,NC_013967.1,WP_004043824.1,HVO_RS10050,HVO_1113,1170,protein_coding,cell division protein
725,cds1057,CDS,COG1458,1018346,1019044,1019044,+,[R] Predicted DNA-binding protein containing PIN domain,NC_013967.1,WP_004043823.1,HVO_RS10055,HVO_1114,699,protein_coding,RNA ligase partner protein
727,cds1060,CDS,COG3413,1019803,1020444,1020444,+,[R] Predicted DNA binding protein  ,NC_013967.1,WP_004043820.1,HVO_RS10070,HVO_1117,642,protein_coding,DNA-binding protein
728,cds1061,CDS,COG3794,1020707,1021228,1021228,-,[C] Plastocyanin     ,NC_013967.1,WP_004043818.1,HVO_RS10075,HVO_1119,522,protein_coding,halocyanin domain-containing protein
729,cds1062,CDS,COG3460,1021329,1021658,1021658,+,[Q] Uncharacterized enzyme of phenylacetate metabolism ,NC_013967.1,WP_013035526.1,HVO_RS10080,HVO_1120,330,protein_coding,rSAM-partnered protein
729,cds1063,CDS,COG0535,1021655,1022863,1022863,+,[R] Predicted Fe-S oxidoreductases   ,NC_013967.1,WP_004043816.1,HVO_RS10085,HVO_1121,1209,protein_coding,radical SAM/SPASM domain-containing protein
731,cds1065,CDS,COG0492,1023195,1024244,1024244,-,[O] Thioredoxin reductase    ,NC_013967.1,WP_004043814.1,HVO_RS10095,HVO_1123,1050,protein_coding,thioredoxin reductase
732,cds1066,CDS,COG1849,1024386,1024670,1024670,+,[S] Uncharacterized protein conserved in archaea ,NC_013967.1,WP_004043813.1,HVO_RS10100,HVO_1124,285,protein_coding,DUF357 domain-containing protein
733,cds1067,CDS,COG0215,1024689,1026173,1026173,-,[J] Cysteinyl-tRNA synthetase    ,NC_013967.1,WP_004043812.1,HVO_RS10105,HVO_1125,1485,protein_coding,cysteine--tRNA ligase
734,cds1068,CDS,COG0840,1026290,1028068,1028068,-,[NT] Methyl-accepting chemotaxis protein   ,NC_013967.1,WP_004043811.1,HVO_RS10110,HVO_1126,1779,protein_coding,globin-coupled sensor protein
736,cds1070,CDS,COG2138,1028819,1029697,1029697,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004043809.1,HVO_RS10120,HVO_1128,879,protein_coding,hypothetical protein
737,cds1073,CDS,COG2835,1031564,1031749,1031749,-,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_013035425.1,HVO_RS10135,HVO_1131,186,protein_coding,hypothetical protein
738,cds1074,CDS,COG0104,1031858,1033189,1033189,-,[F] Adenylosuccinate synthase    ,NC_013967.1,WP_004043805.1,HVO_RS10140,HVO_1132,1332,protein_coding,adenylosuccinate synthase
739,cds1075,CDS,COG3388,1033423,1033728,1033728,+,[S] Uncharacterized protein conserved in archaea ,NC_013967.1,WP_004043804.1,HVO_RS10145,HVO_1133,306,protein_coding,hypothetical protein
743,cds1079,CDS,COG1226,1038438,1040096,1040096,+,"[P] Kef-type K+ transport systems, predicted NAD-binding",NC_013967.1,WP_004043800.1,HVO_RS10165,HVO_1137,1659,protein_coding,metal transporter
744,cds1080,CDS,COG1845,1040246,1041094,1041094,-,"[C] Heme/copper-type cytochrome/quinol oxidase, subunit 3 ",NC_013967.1,WP_004043799.1,HVO_RS10170,HVO_1138,849,protein_coding,heme-copper oxidase subunit III
745,cds1081,CDS,COG1562,1041315,1042391,1042391,-,[I] Phytoene/squalene synthetase    ,NC_013967.1,WP_013035444.1,HVO_RS10175,HVO_1139,1077,protein_coding,squalene/phytoene synthase family protein
746,cds1082,CDS,COG1960,1042509,1043651,1043651,+,[I] Acyl-CoA dehydrogenases    ,NC_013967.1,WP_004043797.1,HVO_RS10180,HVO_1140,1143,protein_coding,acyl-CoA dehydrogenase
749,cds1085,CDS,COG1183,1044422,1045093,1045093,-,[I] Phosphatidylserine synthase    ,NC_013967.1,WP_008605767.1,HVO_RS10195,HVO_1143,672,protein_coding,CDP-diacylglycerol--serine O-phosphatidyltransferase
750,cds1086,CDS,COG3794,1045260,1045706,1045706,+,[C] Plastocyanin     ,NC_013967.1,WP_004043793.1,HVO_RS10200,HVO_1144,447,protein_coding,halocyanin
751,cds1087,CDS,COG1890,1045827,1046489,1046489,-,[J] Ribosomal protein S3AE   ,NC_013967.1,WP_013035666.1,HVO_RS10205,HVO_1145,663,protein_coding,30S ribosomal protein S3ae
751,cds1090,CDS,COG0184,1047847,1048314,1048314,-,[J] Ribosomal protein S15P/S13E   ,NC_013967.1,WP_004043790.1,HVO_RS10220,HVO_1148,468,protein_coding,30S ribosomal protein S15
753,cds1091,CDS,COG1943,1049190,1049582,1049582,+,[L] Transposase and inactivated derivatives  ,NC_013967.1,WP_004043788.1,HVO_RS10230,HVO_1150,393,protein_coding,IS200/IS605 family transposase
755,cds1099,CDS,COG2064,1055914,1057956,1057956,-,[NU] Flp pilus assembly protein TadC ,NC_013967.1,WP_004043781.1,HVO_RS10270,HVO_1159,2043,protein_coding,type IV pilus biogenesis complex membrane subunit
755,cds1100,CDS,COG0630,1057957,1061259,1061259,-,"[NU] Type IV secretory pathway, VirB11 components,",NC_013967.1,WP_004043780.1,HVO_RS10275,HVO_1160,3303,protein_coding,secretion system protein E
757,cds1101,CDS,COG1826,1061644,1061919,1061919,-,[U] Sec-independent protein secretion pathway components ,NC_013967.1,WP_004043779.1,HVO_RS10285,HVO_1162,276,protein_coding,twin-arginine translocase TatA/TatE family subunit
758,cds1102,CDS,COG1225,1062179,1062679,1062679,+,[O] Peroxiredoxin     ,NC_013967.1,WP_004043778.1,HVO_RS10290,HVO_1163,501,protein_coding,peroxiredoxin
759,cds1103,CDS,COG3294,1062761,1063573,1063573,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004043777.1,HVO_RS10295,HVO_1164,813,protein_coding,HD domain-containing protein
760,cds1104,CDS,COG0668,1063656,1064564,1064564,-,[M] Small-conductance mechanosensitive channel   ,NC_013967.1,WP_004043776.1,HVO_RS10300,HVO_1165,909,protein_coding,mechanosensitive ion channel family protein
760,cds1105,CDS,COG1534,1064561,1064809,1064809,-,"[J] Predicted RNA-binding protein containing KH domain,",NC_013967.1,WP_004043775.1,HVO_RS10305,HVO_1166,249,protein_coding,hypothetical protein
761,cds1106,CDS,COG2023,1064921,1065196,1065196,-,[J] RNase P subunit RPR2  ,NC_013967.1,WP_004043774.1,HVO_RS10310,HVO_1167,276,protein_coding,ribonuclease P
762,cds1107,CDS,COG0438,1065306,1066367,1066367,+,[M] Glycosyltransferase     ,NC_013967.1,WP_013035605.1,HVO_RS10315,HVO_1168,1062,protein_coding,glycosyl transferase family 1
762,cds1108,CDS,COG0438,1066467,1067573,1067573,+,[M] Glycosyltransferase     ,NC_013967.1,WP_004043772.1,HVO_RS10320,HVO_1169,1107,protein_coding,glycosyltransferase family 4 protein
764,cds1111,CDS,COG0451,1068963,1069910,1069910,-,[MG] Nucleoside-diphosphate-sugar epimerases    ,NC_013967.1,WP_004043769.1,HVO_RS10335,HVO_1172,948,protein_coding,UDP-glucose 4-epimerase
765,cds1112,CDS,COG1303,1070008,1070550,1070550,+,[S] Uncharacterized protein conserved in archaea ,NC_013967.1,WP_004043768.1,HVO_RS10340,HVO_1173,543,protein_coding,tRNA (cytidine(56)-2'-O)-methyltransferase
765,cds1113,CDS,COG1675,1070635,1071165,1071165,+,"[K] Transcription initiation factor IIE, alpha subunit",NC_013967.1,WP_004043767.1,HVO_RS10345,HVO_1174,531,protein_coding,transcription factor
765,cds1114,CDS,COG4044,1071166,1071843,1071843,+,[S] Uncharacterized protein conserved in archaea ,NC_013967.1,WP_004043766.1,HVO_RS10350,HVO_1175,678,protein_coding,DUF2110 domain-containing protein
766,cds1116,CDS,COG1058,1072691,1073383,1073383,+,[R] Predicted nucleotide-utilizing enzyme related to molybdopterin-biosynthesis,NC_013967.1,WP_004043764.1,HVO_RS10360,HVO_1177,693,protein_coding,competence/damage-inducible protein A
767,cds1117,CDS,COG3199,1073681,1074745,1074745,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004043762.1,HVO_RS10365,HVO_1179,1065,protein_coding,N-acetylglucosamine-1-phosphate uridyltransferase
768,cds1118,CDS,COG0599,1074831,1075205,1075205,-,[S] Uncharacterized homolog of gamma-carboxymuconolactone decarboxylase subunit,NC_013967.1,WP_004043761.1,HVO_RS10370,HVO_1180,375,protein_coding,carboxymuconolactone decarboxylase family protein
772,cds1122,CDS,COG5608,1077825,1078964,1078964,-,[S] Conserved secreted protein   ,NC_013967.1,WP_004043757.1,HVO_RS10390,HVO_1184,1140,protein_coding,hypothetical protein
774,cds1125,CDS,COG3427,1079634,1080065,1080065,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004043754.1,HVO_RS10405,HVO_1187,432,protein_coding,polyketide cyclase
776,cds1127,CDS,COG1012,1080889,1082415,1082415,-,[C] NAD-dependent aldehyde dehydrogenases   ,NC_013967.1,WP_004043752.1,HVO_RS10415,HVO_1189,1527,protein_coding,hypothetical protein
777,cds1128,CDS,COG3413,1082548,1083267,1083267,+,[R] Predicted DNA binding protein  ,NC_013967.1,WP_004043751.1,HVO_RS10420,HVO_1190,720,protein_coding,transcriptional regulator
778,cds1129,CDS,COG0506,1083296,1084135,1084135,-,[E] Proline dehydrogenase    ,NC_013967.1,WP_004043750.1,HVO_RS10425,HVO_1191,840,protein_coding,proline dehydrogenase
779,cds1130,CDS,COG0683,1084392,1085606,1085606,+,"[E] ABC-type branched-chain amino acid transport systems,",NC_013967.1,WP_004043749.1,HVO_RS10430,HVO_1192,1215,protein_coding,ABC transporter substrate-binding protein
779,cds1131,CDS,COG0559,1085626,1086186,1086186,+,"[E] Branched-chain amino acid ABC-type transport system,",NC_013967.1,WP_081442895.1,HVO_RS10435,HVO_1193,561,protein_coding,branched-chain amino acid ABC transporter permease
779,cds1132,CDS,COG4177,1086183,1087307,1087307,+,"[E] ABC-type branched-chain amino acid transport system,",NC_013967.1,WP_004043747.1,HVO_RS10440,HVO_1194,1125,protein_coding,branched-chain amino acid ABC transporter permease
779,cds1133,CDS,COG0411,1087304,1088110,1088110,+,"[E] ABC-type branched-chain amino acid transport systems,",NC_013967.1,WP_004043746.1,HVO_RS10445,HVO_1195,807,protein_coding,ABC transporter ATP-binding protein
779,cds1134,CDS,COG0410,1088107,1088844,1088844,+,"[E] ABC-type branched-chain amino acid transport systems,",NC_013967.1,WP_004043745.1,HVO_RS10450,HVO_1196,738,protein_coding,ABC transporter ATP-binding protein
780,cds1136,CDS,COG0589,1089724,1090161,1090161,-,[T] Universal stress protein UspA and related,NC_013967.1,WP_004043743.1,HVO_RS10460,HVO_1198,438,protein_coding,universal stress protein
781,cds1137,CDS,COG1960,1090314,1091456,1091456,+,[I] Acyl-CoA dehydrogenases    ,NC_013967.1,WP_004043742.1,HVO_RS10465,HVO_1199,1143,protein_coding,acyl-CoA dehydrogenase
782,cds1138,CDS,COG3351,1091481,1091936,1091936,-,[N] Putative archaeal flagellar protein D/E ,NC_013967.1,WP_004043741.1,HVO_RS10470,HVO_1200,456,protein_coding,fla cluster protein FlaD2
783,cds1139,CDS,COG2202,1092259,1094385,1094385,+,[T] FOG: PAS/PAC domain   ,NC_013967.1,WP_004043740.1,HVO_RS10475,HVO_1201,2127,protein_coding,PAS domain-containing sensor histidine kinase
784,cds1140,CDS,COG1924,1094484,1095581,1095581,-,[I] Activator of 2-hydroxyglutaryl-CoA dehydratase (HSP70-class ATPase,NC_013967.1,WP_004043739.1,HVO_RS10480,HVO_1202,1098,protein_coding,hypothetical protein
785,cds1141,CDS,COG3351,1095684,1096214,1096214,-,[N] Putative archaeal flagellar protein D/E ,NC_013967.1,WP_004043738.1,HVO_RS10485,HVO_1203,531,protein_coding,fla cluster protein FlaD1
786,cds1142,CDS,COG1871,1096507,1097016,1097016,-,[NT] Chemotaxis protein; stimulates methylation of MCP,NC_013967.1,WP_004043737.1,HVO_RS10490,HVO_1205,510,protein_coding,chemotaxis protein CheD
786,cds1143,CDS,COG1776,1097038,1098225,1098225,-,"[NT] Chemotaxis protein CheC, inhibitor of MCP",NC_013967.1,WP_004043736.1,HVO_RS10495,HVO_1206,1188,protein_coding,chemotaxis protein CheC
786,cds1144,CDS,COG2197,1098222,1098590,1098590,-,[TK] Response regulator containing a CheY-like receiver,NC_013967.1,WP_004043735.1,HVO_RS10500,HVO_1207,369,protein_coding,response regulator
789,cds1147,CDS,COG1681,1100086,1100727,1100727,+,[N] Archaeal flagellins    ,NC_013967.1,WP_004043732.1,HVO_RS10515,HVO_1210,642,protein_coding,flagellin
789,cds1148,CDS,COG1681,1100738,1101400,1101400,+,[N] Archaeal flagellins    ,NC_013967.1,WP_013035369.1,HVO_RS10520,HVO_1211,663,protein_coding,flagellin
790,cds1149,CDS,COG0467,1101720,1102460,1102460,-,[T] RecA-superfamily ATPases implicated in signal transduction,NC_013967.1,WP_004043730.1,HVO_RS10525,HVO_1212,741,protein_coding,circadian clock protein KaiC
791,cds1150,CDS,COG3352,1102755,1104209,1104209,+,[N] Putative archaeal flagellar protein C ,NC_013967.1,WP_004043729.1,HVO_RS10530,HVO_1213,1455,protein_coding,flagellar protein E
791,cds1151,CDS,COG3353,1104193,1104630,1104630,+,[N] Putative archaeal flagellar protein F ,NC_013967.1,WP_004043728.1,HVO_RS10535,HVO_1214,438,protein_coding,fla cluster protein FlaF
791,cds1152,CDS,COG3354,1104631,1105080,1105080,+,[N] Putative archaeal flagellar protein G ,NC_013967.1,WP_004043727.1,HVO_RS10540,HVO_1215,450,protein_coding,fla cluster protein FlaG
791,cds1153,CDS,COG2874,1105077,1105826,1105826,+,[NU] Predicted ATPases involved in biogenesis of,NC_013967.1,WP_004043726.1,HVO_RS10545,HVO_1216,750,protein_coding,ATPase
791,cds1154,CDS,COG0630,1105827,1107491,1107491,+,"[NU] Type IV secretory pathway, VirB11 components,",NC_013967.1,WP_004043725.1,HVO_RS10550,HVO_1217,1665,protein_coding,hypothetical protein
791,cds1155,CDS,COG1955,1107496,1109238,1109238,+,[NU] Archaeal flagella assembly protein J ,NC_013967.1,WP_004043724.1,HVO_RS10555,HVO_1218,1743,protein_coding,flagellar assembly protein J
791,cds1156,CDS,COG2469,1109235,1110353,1110353,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_013035550.1,HVO_RS10560,HVO_1219,1119,protein_coding,chemotaxis protein CheF
793,cds1158,CDS,COG2469,1110849,1111715,1111715,-,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004043721.1,HVO_RS10570,HVO_1221,867,protein_coding,hypothetical protein
793,cds1159,CDS,COG1352,1111719,1112561,1112561,-,[NT] Methylase of chemotaxis methyl-accepting proteins ,NC_013967.1,WP_004043720.1,HVO_RS10575,HVO_1222,843,protein_coding,protein-glutamate O-methyltransferase CheR
793,cds1160,CDS,COG0643,1112561,1114831,1114831,-,[NT] Chemotaxis protein histidine kinase and related,NC_013967.1,WP_004043719.1,HVO_RS10580,HVO_1223,2271,protein_coding,chemotaxis protein CheA
793,cds1161,CDS,COG2201,1114834,1115943,1115943,-,[NT] Chemotaxis response regulator containing a CheY-like,NC_013967.1,WP_049914875.1,HVO_RS10585,HVO_1224,1110,protein_coding,chemotaxis response regulator protein-glutamate methylesterase
794,cds1162,CDS,COG0835,1116184,1116657,1116657,+,[NT] Chemotaxis signal transduction protein  ,NC_013967.1,WP_006600388.1,HVO_RS10590,HVO_1225,474,protein_coding,chemotaxis protein CheW
796,cds1164,CDS,COG2233,1117313,1118905,1118905,+,[F] Xanthine/uracil permeases    ,NC_013967.1,WP_004043715.1,HVO_RS10600,HVO_1227,1593,protein_coding,xanthine permease
797,cds1165,CDS,COG3794,1118978,1121443,1121443,+,[C] Plastocyanin     ,NC_013967.1,WP_013035267.1,HVO_RS10605,HVO_1228,2466,protein_coding,DUF5059 domain-containing protein
799,cds1167,CDS,COG1988,1122941,1123435,1123435,+,[R] Predicted membrane-bound metal-dependent hydrolases  ,NC_013967.1,WP_004043711.1,HVO_RS10615,HVO_1231,495,protein_coding,metal-dependent hydrolase
800,cds1168,CDS,COG2128,1123534,1124115,1124115,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004043710.1,HVO_RS10620,HVO_1232,582,protein_coding,alkylhydroperoxidase
801,cds1169,CDS,COG1278,1124201,1124395,1124395,+,[K] Cold shock proteins   ,NC_013967.1,WP_004043709.1,HVO_RS10625,HVO_1233,195,protein_coding,cold shock domain-containing protein
802,cds1170,CDS,COG3046,1124517,1126013,1126013,-,[R] Uncharacterized protein related to deoxyribodipyrimidine photolyase,NC_013967.1,WP_004043708.1,HVO_RS10630,HVO_1234,1497,protein_coding,cryptochrome/photolyase family protein
802,cds1171,CDS,COG1402,1126063,1126857,1126857,-,"[R] Uncharacterized protein, putative amidase  ",NC_013967.1,WP_004043707.1,HVO_RS10635,HVO_1235,795,protein_coding,creatininase
